FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
231205;0000;12;;;
231206;0000;15;;;
231207;0000;41;;;
231208;0000;36;;;
231209;0000;13;;;
231210;0000;25;;;
231211;0000;19;;;
231212;0000;14;;;
231213;0000;13;;;
231214;0000;13;;;
231215;0000;15;;;
231216;0000;8;;;
231217;0000;6;;;
231218;0000;9;;;
231219;0000;38;;;
231220;0000;32;;;
231221;0000;22;;;
231222;0000;17;;;
231223;0000;13;;;
231224;0000;13;;;
231225;0000;16;;;
231226;0000;17;;;
231227;0000;13;;;
231228;0000;11;;;
231229;0000;13;;;
231230;0000;10;;;
231231;0000;9;;;
240101;0000;9;;;
240102;0000;11;;;
240103;0000;17;;;
240104;0000;17;;;
240105;0000;11;;;
240106;0000;10;;;
240107;0000;6;;;
240108;0000;8;;;
240109;0000;9;;;
240110;0000;13;;;
240111;0000;13;;;
240112;0000;13;;;
240113;0000;12;;;
240114;0000;10;;;
240115;0000;11;;;
240116;0000;10;;;
240117;0000;14;;;
240118;0000;14;;;
240119;0000;16;;;
240120;0000;18;;;
240121;0000;18;;;
240122;0000;20;;;
240123;0000;18;;;
240124;0000;17;;;
240125;0000;17;;;
240126;0000;13;;;
240127;0000;12;;;
240128;0000;13;;;
240129;0000;14;;;
240130;0000;18;;;
240131;0000;23;;;
240201;0000;24;;;
240202;0000;18;;;
240203;0000;17;;;
240204;0000;29;;;
240205;0000;22;;;
240206;0000;20;;;
240207;0000;15;;;
240208;0000;13;;;
240209;0000;11;;;
240210;0000;14;;;
240211;0000;11;;;
240212;0000;13;;;
240213;0000;15;;;
240214;0000;15;;;
240215;0000;15;;;
240216;0000;16;;;
240217;0000;16;;;
240218;0000;14;;;
240219;0000;16;;;
240220;0000;12;;;
240221;0000;9;;;
240222;0000;8;;;
240223;0000;14;;;
240224;0000;10;;;
240225;0000;13;;;
240226;0000;16;;;
240227;0000;12;;;
240228;0000;13;;;
240229;0000;13;;;
240301;0000;17;;;
240302;0000;14;;;
240303;0000;14;;;
240304;0000;15;;;
240305;0000;17;;;
240306;0000;19;;;
240307;0000;14;;;
240308;0000;11;;;
240309;0000;11;;;
240310;0000;14;;;
240311;0000;14;;;
240312;0000;10;;;
240313;0000;11;;;
240314;0000;14;;;
240315;0000;17;;;
240316;0000;17;;;
240317;0000;17;;;
240318;0000;22;;;
240319;0000;20;;;
240320;0000;14;;;
240321;0000;22;;;
240322;0000;17;;;
240323;0000;14;;;
240324;0000;13;;;
240325;0000;14;;;
240326;0000;19;;;
240327;0000;18;;;
240328;0000;20;;;
240329;0000;26;;;
240330;0000;21;;;
240331;0000;14;;;
240401;0000;11;;;
240402;0000;19;;;
240403;0000;17;;;
240404;0000;19;;;
240405;0000;;;;
240406;0000;;;;
240407;0000;;;;
240408;0000;;;;
240409;0000;;;;
240410;0000;21;;;
240411;0000;16;;;
240412;0000;13;;;
240413;0000;15;;;
240414;0000;13;;;
240415;0000;11;;;
240416;0000;22;;;
240417;0000;23;;;
240418;0000;19;;;
240419;0000;23;;;
240420;0000;27;;;
240421;0000;17;;;
240422;0000;12;;;
240423;0000;18;;;
240424;0000;18;;;
240425;0000;19;;;
240426;0000;15;;;
240427;0000;12;;;
240428;0000;18;;;
240429;0000;9;;;
240430;0000;9;;;
240501;0000;12;;;
240502;0000;22;;;
240503;0000;21;;;
240504;0000;25;;;
240505;0000;36;;;
240506;0000;23;;;
240507;0000;12;;;
240508;0000;22;;;
240509;0000;40;;;
240510;0000;37;;;
240511;0000;51;;;
240512;0000;33;;;
240513;0000;39;;;
240514;0000;46;;;
240515;0000;37;;;
240516;0000;35;;;
240517;0000;38;;;
240518;0000;51;;;
240519;0000;61;;;
240520;0000;40;;;
240521;0000;17;;;
240522;0000;17;;;
240523;0000;18;;;
240524;0000;39;;;
240525;0000;39;;;
240526;0000;26;;;
240527;0000;40;;;
240528;0000;43;;;
240529;0000;62;;;
240530;0000;63;;;
240531;0000;56;;;
240601;0000;64;;;
240602;0000;72;;;
240603;0000;50;;;
240604;0000;70;;;
240605;0000;64;;;
240606;0000;68;;;
240607;0000;79;;;
240608;0000;34;;;
240609;0000;10;;;
240610;0000;28;;;
240611;0000;51;;;
240612;0000;37;;;
240613;0000;9;;;
240614;0000;14;;;
240615;0000;38;;;
240616;0000;59;;;
240617;0000;54;;;
240618;0000;10;;;
240619;0000;16;;;
240620;0000;33;;;
240621;0000;12;;;
240622;0000;7;;;
240623;0000;12;;;
240624;0000;16;;;
240625;0000;24;;;
240626;0000;57;;;
240627;0000;39;;;
240628;0000;43;;;
240629;0000;91;;;
240630;0000;74;;;
240701;0000;46;;;
240702;0000;37;;;
240703;0000;37;;;
240704;0000;29;;;
240705;0000;58;;;
240706;0000;64;;;
240707;0000;64;;;
240708;0000;67;;;
240709;0000;56;;;
240710;0000;33;;;
240711;0000;68;;;
240712;0000;66;;;
240713;0000;115;;;
240714;0000;96;;;
240715;0000;84;;;
240716;0000;76;;;
240717;0000;54;;;
240718;0000;45;;;
240719;0000;47;;;
240720;0000;67;;;
240721;0000;37;;;
240722;0000;45;;;
240723;0000;32;;;
240724;0000;53;;;
240725;0000;43;;;
240726;0000;57;;;
240727;0000;35;;;
240728;0000;61;;;
240729;0000;61;;;
240730;0000;54;;;
240731;0000;48;;;
240801;0000;21;;;
240802;0000;;;;
240803;0000;;;;
240804;0000;37;;;
240805;0000;19;;;
240806;0000;6;;;
240807;0000;18;;;
240808;0000;45;;;
240809;0000;49;;;
240810;0000;52;;;
240811;0000;48;;;
240812;0000;46;;;
240813;0000;37;;;
240814;0000;43;;;
240815;0000;52;;;
240816;0000;38;;;
240817;0000;29;;;
240818;0000;25;;;
240819;0000;23;;;
240820;0000;17;;;
240821;0000;23;;;
240822;0000;;;;
240823;0000;16;;;
240824;0000;45;;;
240825;0000;33;;;
240826;0000;26;;;
240827;0000;33;;;
240828;0000;26;;;
240829;0000;19;;;
240830;0000;17;;;
240831;0000;51;;;
240901;0000;39;;;
240902;0000;10;;;
240903;0000;15;;;
240904;0000;26;;;
240905;0000;30;;;
240906;0000;19;;;
240907;0000;18;;;
240908;0000;28;;;
240909;0000;22;;;
240910;0000;15;;;
240911;0000;13;;;
240912;0000;20;;;
240913;0000;18;;;
240914;0000;27;;;
240915;0000;24;;;
240916;0000;20;;;
240917;0000;17;;;
240918;0000;35;;;
240919;0000;10;;;
240920;0000;20;;;
240921;0000;11;;;
240922;0000;12;;;
240923;0000;9;;;
240924;0000;11;;;
240925;0000;16;;;
240926;0000;23;;;
240927;0000;27;;;
240928;0000;20;;;
240929;0000;18;;;
240930;0000;12;;;
241001;0000;10;;;
241002;0000;13;;;
241003;0000;21;;;
241004;0000;20;;;
241005;0000;16;;;
241006;0000;15;;;
241007;0000;15;;;
241008;0000;8;;;
241009;0000;17;;;
241010;0000;20;;;
241011;0000;14;;;
241012;0000;22;;;
241013;0000;18;;;
241014;0000;15;;;
241015;0000;21;;;
241016;0000;13;;;
241017;0000;17;;;
241018;0000;17;;;
241019;0000;14;;;
241020;0000;6;;;
241021;0000;8;;;
241022;0000;15;;;
241023;0000;7;;;
241024;0000;11;;;
