FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
010515;0000;17,75;;;
010516;0000;65,5714;;;
010517;0000;118,208;;;
010518;0000;31,1667;;;
010519;0000;50,0833;;;
010520;0000;42,1667;;;
010521;0000;46,375;;;
010522;0000;61,4167;;;
010523;0000;74,9583;;;
010524;0000;48,4167;;;
010525;0000;54,25;;;
010526;0000;78,5;;;
010527;0000;33,1667;;;
010528;0000;27,9474;;;
010529;0000;10,375;;;
010530;0000;;;;
010531;0000;25,7083;;;
010601;0000;53,5;;;
010602;0000;34,0417;;;
010603;0000;53,5;;;
010604;0000;59,5833;;;
010605;0000;60,0833;;;
010606;0000;72,9167;;;
010607;0000;79,8333;;;
010608;0000;75,875;;;
010609;0000;106,458;;;
010610;0000;42,5833;;;
010611;0000;36,5833;;;
010612;0000;64;;;
010613;0000;138,545;;;
010614;0000;55,5833;;;
010615;0000;12,5833;;;
010616;0000;63,5;;;
010617;0000;51,9167;;;
010618;0000;56,4583;;;
010619;0000;79,4167;;;
010620;0000;77,6667;;;
010621;0000;81,625;;;
010622;0000;76,5;;;
010623;0000;47,9167;;;
010624;0000;57,7619;;;
010625;0000;63,6667;;;
010626;0000;108,773;;;
010627;0000;61,7083;;;
010628;0000;77,75;;;
010629;0000;70,9167;;;
010630;0000;80,1667;;;
010701;0000;44,5;;;
010702;0000;51,5;;;
010703;0000;81,5833;;;
010704;0000;78,25;;;
010705;0000;87,2083;;;
010706;0000;56,0417;;;
010707;0000;77,5833;;;
010708;0000;28,2083;;;
010709;0000;20,875;;;
010710;0000;27,6818;;;
010711;0000;82,2083;;;
010712;0000;29,2083;;;
010713;0000;27,125;;;
010714;0000;68,25;;;
010715;0000;40,4167;;;
010716;0000;30,5833;;;
010717;0000;24,3333;;;
010718;0000;27,3333;;;
010719;0000;8,83333;;;
010720;0000;27,2083;;;
010721;0000;27,5833;;;
010722;0000;73,4583;;;
010723;0000;48,8333;;;
010724;0000;26,25;;;
010725;0000;42,5417;;;
010726;0000;77,5417;;;
010727;0000;74,375;;;
010728;0000;45,7083;;;
010729;0000;13,7083;;;
010730;0000;13,3182;;;
010731;0000;61,9524;;;
010801;0000;44,75;;;
010802;0000;35,7083;;;
010803;0000;51,7083;;;
010804;0000;16,55;;;
010805;0000;;;;
010806;0000;43,6667;;;
010807;0000;59,2083;;;
010808;0000;54,9167;;;
010809;0000;77,75;;;
010810;0000;49,6667;;;
010811;0000;33,25;;;
010812;0000;42,0417;;;
010813;0000;26,875;;;
010814;0000;18,4167;;;
010815;0000;35,25;;;
010816;0000;;;;
010817;0000;;;;
010818;0000;33,0417;;;
010819;0000;57,4167;;;
010820;0000;62,7917;;;
010821;0000;86;;;
010822;0000;73,2856;;;
010823;0000;43,25;;;
010824;0000;31,4167;;;
010825;0000;;;;
010826;0000;5,95455;;;
010827;0000;29,7083;;;
010828;0000;59,7917;;;
010829;0000;23,0417;;;
010830;0000;11,875;;;
010831;0000;14,4167;;;
010901;0000;22,25;;;
010902;0000;26,9583;;;
010903;0000;17,25;;;
010904;0000;26,5833;;;
010905;0000;25,7917;;;
010906;0000;20,0417;;;
010907;0000;29,0417;;;
010908;0000;30,9583;;;
010909;0000;40,7917;;;
010910;0000;46,6667;;;
010911;0000;35,2917;;;
010912;0000;18,2083;;;
010913;0000;34,125;;;
010914;0000;49,9167;;;
010915;0000;49,7083;;;
010916;0000;23;;;
010917;0000;18,2917;;;
010918;0000;40,3333;;;
010919;0000;42,375;;;
010920;0000;20,1667;;;
010921;0000;43,5;;;
010922;0000;45,625;;;
010923;0000;20,6667;;;
010924;0000;37,375;;;
010925;0000;25,1818;;;
010926;0000;15,7917;;;
010927;0000;22,125;;;
010928;0000;21,0417;;;
010929;0000;9,79167;;;
010930;0000;14,3333;;;
011001;0000;29,8333;;;
011002;0000;30,5833;;;
011003;0000;20,0417;;;
011004;0000;24,5833;;;
011005;0000;27,2083;;;
011006;0000;11,7083;;;
011007;0000;8,25;;;
011008;0000;19,625;;;
011009;0000;30,375;;;
011010;0000;;;;
011011;0000;24,2083;;;
011012;0000;30,25;;;
011013;0000;31,7917;;;
011014;0000;28,4167;;;
011015;0000;22,3333;;;
011016;0000;29,5833;;;
011017;0000;23,2083;;;
011018;0000;21,875;;;
011019;0000;18,125;;;
011020;0000;21,25;;;
011021;0000;21,7083;;;
011022;0000;20,5833;;;
011023;0000;31,625;;;
011024;0000;22,4583;;;
011025;0000;20,4167;;;
011026;0000;30,375;;;
011027;0000;20,375;;;
011028;0000;17;;;
011029;0000;21,8333;;;
011030;0000;26,2083;;;
011031;0000;20,4583;;;
011101;0000;18,125;;;
011102;0000;25,5;;;
011103;0000;23,6667;;;
011104;0000;12;;;
011105;0000;10,8333;;;
011106;0000;15,7778;;;
011107;0000;17,375;;;
011108;0000;25,5833;;;
011109;0000;15,9583;;;
011110;0000;13,25;;;
011111;0000;16,0833;;;
011112;0000;12,375;;;
011113;0000;14,7917;;;
011114;0000;11,7917;;;
011115;0000;18,9583;;;
011116;0000;23,25;;;
011117;0000;31,0417;;;
011118;0000;23,625;;;
011119;0000;17,4167;;;
011120;0000;14,2727;;;
011121;0000;16,0833;;;
011122;0000;14,7083;;;
011123;0000;10,7083;;;
011124;0000;21,7083;;;
011125;0000;19,5;;;
011126;0000;18,9583;;;
011127;0000;21,6667;;;
011128;0000;22,125;;;
011129;0000;20,875;;;
011130;0000;26,8182;;;
011201;0000;21,125;;;
011202;0000;17,875;;;
011203;0000;20;;;
011204;0000;23,7083;;;
011205;0000;22,375;;;
011206;0000;19,375;;;
011207;0000;23,0417;;;
011208;0000;29,25;;;
011209;0000;17,4167;;;
011210;0000;19,4583;;;
011211;0000;29,4583;;;
011212;0000;21,75;;;
011213;0000;17,3333;;;
011214;0000;20,9583;;;
011215;0000;26,625;;;
011216;0000;24,9583;;;
011217;0000;24,3333;;;
011218;0000;16,5833;;;
011219;0000;18,875;;;
011220;0000;19,375;;;
011221;0000;15,8947;;;
011222;0000;24,7083;;;
